Unnamed: 0,количество детей,трудовой стаж,возраст,образование,education_id,семейный статус,family_status_id,пол,тип занятости,уровень дохода,цель кредита,просрочки
0,1,-8437.673027760233,42,высшее,0,женат / замужем,0,F,сотрудник,253875.6394525987,покупка жилья,0
1,1,-4024.803753850451,36,среднее,1,женат / замужем,0,F,сотрудник,112080.01410244204,приобретение автомобиля,0
2,0,-5623.422610230956,33,Среднее,1,женат / замужем,0,M,сотрудник,145885.95229686378,покупка жилья,0
3,3,-4124.747206540018,32,среднее,1,женат / замужем,0,M,сотрудник,267628.5503294142,дополнительное образование,0
4,0,340266.07204682194,53,среднее,1,гражданский брак,1,F,пенсионер,158616.07787006293,сыграть свадьбу,0
5,0,-926.1858308789184,27,высшее,0,гражданский брак,1,M,компаньон,255763.56541904988,покупка жилья,0
6,0,-2879.202052139952,43,высшее,0,женат / замужем,0,F,компаньон,240525.9719203061,операции с жильем,0
7,0,-152.7795691752705,50,СРЕДНЕЕ,1,женат / замужем,0,M,сотрудник,135823.93419727974,образование,0
8,2,-6929.865298973741,35,ВЫСШЕЕ,0,гражданский брак,1,F,сотрудник,95856.83242386371,на проведение свадьбы,0
9,0,-2188.7564450779378,41,среднее,1,женат / замужем,0,M,сотрудник,144425.93827708642,покупка жилья для семьи,0
10,2,-4171.483646903305,36,высшее,0,женат / замужем,0,M,компаньон,113943.4914603043,покупка недвижимости,0
11,0,-792.7018870609315,40,среднее,1,женат / замужем,0,F,сотрудник,77069.23427130934,покупка коммерческой недвижимости,0
12,0,,65,среднее,1,гражданский брак,1,M,пенсионер,,сыграть свадьбу,0
13,0,-1846.6419410560736,54,неоконченное высшее,2,женат / замужем,0,F,сотрудник,130458.22885695784,приобретение автомобиля,0
14,0,-1844.9561821875543,56,высшее,0,гражданский брак,1,F,компаньон,165127.9117721805,покупка жилой недвижимости,1
15,1,-972.3644189900732,26,среднее,1,женат / замужем,0,F,сотрудник,116820.90444993383,строительство собственной недвижимости,0
16,0,-1719.9342261530542,35,среднее,1,женат / замужем,0,F,сотрудник,289202.7042292056,недвижимость,0
17,0,-2369.999720209008,33,высшее,0,гражданский брак,1,M,сотрудник,90410.58674466488,строительство недвижимости,0
18,0,400281.1369125588,53,среднее,1,вдовец / вдова,2,F,пенсионер,56823.7772431838,на покупку подержанного автомобиля,0
19,0,-10038.818548915877,48,СРЕДНЕЕ,1,в разводе,3,F,сотрудник,242831.107981772,на покупку своего автомобиля,0
20,1,-1311.6041664289485,36,среднее,1,женат / замужем,0,M,сотрудник,209552.64457761557,недвижимость,0
21,1,-253.68516578402495,33,среднее,1,гражданский брак,1,F,сотрудник,131812.20390893804,приобретение автомобиля,0
22,1,-1766.6441376815046,24,среднее,1,гражданский брак,1,F,сотрудник,149681.1407311689,на покупку подержанного автомобиля,0
23,0,-272.9813850334044,21,высшее,0,гражданский брак,1,M,сотрудник,128265.72087100228,сыграть свадьбу,0
24,1,338551.95291136915,57,среднее,1,Не женат / не замужем,4,F,пенсионер,290547.2359974949,операции с коммерческой недвижимостью,0
25,0,363548.4893483957,67,среднее,1,женат / замужем,0,M,пенсионер,55112.757731719255,покупка недвижимости,0
26,0,,41,среднее,1,женат / замужем,0,M,госслужащий,,образование,0
27,0,-529.1916346594236,28,высшее,0,женат / замужем,0,M,сотрудник,308848.9836905699,строительство собственной недвижимости,0
28,1,-717.2743239418727,26,высшее,0,женат / замужем,0,F,сотрудник,187863.2373059588,строительство собственной недвижимости,0
29,0,,63,среднее,1,Не женат / не замужем,4,F,пенсионер,,строительство жилой недвижимости,0
30,1,335581.6685149753,62,среднее,1,женат / замужем,0,F,пенсионер,171456.06799338743,операции с коммерческой недвижимостью,0
31,0,-1682.08343808475,47,начальное,3,женат / замужем,0,F,сотрудник,275485.684538057,жилье,0
32,0,-4649.910831728614,34,СРЕДНЕЕ,1,гражданский брак,1,F,сотрудник,139057.46420747985,на проведение свадьбы,1
33,0,-1548.63754364046,48,среднее,1,женат / замужем,0,F,компаньон,157245.78623254097,покупка жилья,0
34,0,-4488.067031277062,35,среднее,1,женат / замужем,0,F,сотрудник,104660.44920263148,операции со своей недвижимостью,0
35,0,394021.0721837952,68,среднее,1,гражданский брак,1,M,пенсионер,77805.67743642293,на проведение свадьбы,0
36,0,-176.21668833712155,33,среднее,1,Не женат / не замужем,4,M,сотрудник,138830.65073407194,автомобили,0
